Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19
0.41454776070355126,0.4018364749292235,0.42683634468829834,0.4110739870294611,0.8361549701025468,0.5448255633014323,0.40777146177542273,0.4085748187926581,0.5795468401409951,0.9444731883795806,0.5791617867857731,0.39180104016780837,0.9558073876178712,0.41277754894720076,0.5705919660003057,0.4278220301674869,0.4338899411174821,0.8314812432510379,0.3342156070022486,0.5364276969597468
0.3721325503040523,0.32874457381798755,0.3683661691640064,0.3740878037782832,0.7605159704317026,0.49015598680172584,0.37266915311989407,0.2381568283035408,0.641974083602003,0.8502284038479259,0.5338249886955296,0.30771793793152596,0.9345941412865458,0.3640702727743308,0.6537455707452098,0.3660053074329328,0.3714034754858194,0.43127801679833244,0.36299153051539185,0.49017077113185026
0.4193541986271564,0.4137113584133773,0.39952799568458974,0.423315664889982,0.7596669409167187,0.4888662274825502,0.330712602045014,0.39670125265887496,0.5990532135268922,0.8587852146136812,0.5329250315713062,0.41103985724329284,0.7425956556200529,0.4249586390829539,0.5968377257470416,0.33606077577971005,0.3252229997821769,0.6058308271265993,0.3213555938044826,0.4965235349261544
0.23352066000039712,0.3446031029840117,0.3732930394738771,0.18532139737273476,0.7002703163450938,0.5241338853611252,0.37685109207377687,0.31973377399564207,0.6312771797746082,0.8141519327930117,0.5485515965688711,0.3080228528991131,0.8411895944727755,0.30785389043161165,0.6462350249014281,0.30161110471993074,0.38886841013645507,0.8350036907352564,0.2854632634609291,0.5111692269054862
0.3889334588593473,0.3713948535144258,0.36758977262033155,0.4338546451006443,0.6946070449518147,0.4909171063098565,0.4030750400010165,0.41075981542222,0.5963505973016308,0.7996184945425221,0.5446176767879267,0.25999848986471485,0.9346944263304663,0.4163761347777647,0.5945588749950272,0.3771080175211044,0.41036396837594147,0.7985604828688629,0.413026134838917,0.501731861788852
0.3351204917089141,0.325097316911894,0.37110908582575697,0.31385608050386227,0.6134064290402732,0.5043334835045805,0.34433652182633817,0.3275160159769913,0.6351533696951682,0.7259947966193973,0.5437502775912151,0.30724532106167357,0.931882589711964,0.2959248563742406,0.636474647514425,0.2855166553401558,0.3842397183589571,0.7183968589385248,0.3156786298276422,0.5053607208439594
0.4098058927859572,0.3843836975438864,0.31391420669885745,0.3992131108919411,0.7068900424380317,0.3517975044545089,0.3892019675740329,0.3990641426213441,0.6360001128295302,0.8159206761661413,0.5445720103737957,0.3861712503480177,0.6851864413762462,0.3807044845412489,0.6500363053745717,0.4039699358262071,0.4073221951409787,0.7948922957950335,0.40134795259139056,0.4955922594137898
0.31815389398749344,0.29735124878942476,0.36513940043384063,0.32037833781280534,0.6894486716840824,0.5075228758789215,0.329448582318801,0.29272403905777894,0.6430597664390406,0.8115641639325536,0.5436953548159419,0.3083569930482642,0.9338759098229557,0.30266837071181185,0.6551254270095836,0.28949944185438486,0.3772809183959886,0.5371876252276632,0.3119607088165078,0.4766016818345379
0.7993711472788518,0.7062734649026673,0.7872438384273311,0.7940050449696067,0.7343264732721052,0.6879053349814526,0.7992004710735927,0.6444580105669105,0.7887244072375218,0.8530693607843233,0.5453850576041842,0.6599319372666556,0.9382798292891085,0.7908636276136857,0.7952738917639398,0.7516663215679629,0.7989749121332572,0.3740304991719096,0.7892360070472099,0.8309817528320603
0.37730514566864454,0.35978731728944574,0.3436632420595658,0.35471348621358223,0.5684918147968371,0.4858425431398195,0.37142588606870325,0.3680391938600745,0.5935296487232441,0.6890719834559331,0.5379148488160346,0.3421588305653308,0.9325324177274467,0.31871252291688174,0.5903579012356058,0.0,0.38418124635148393,0.7516663215679629,0.3604857872863017,0.4746311061179777
